Country,Year,Speech_Paragraph,Paragraph_ID
BRA,2009,The General Assembly has been and must continue to be the great forum for general debate concerning humankind’s major problems.,BRA_2009_01
BRA,2009,"I wish to discuss three crucial issues which I believe to be interconnected. Three perils that haunt our planet are the ongoing economic crisis, the lack of stable, democratic world governance and the threat posed by climate change to all of our lives.",BRA_2009_02
BRA,2009,"Exactly one year ago, at the outset of the economic crisis that overtook the world economy, I said from this rostrum that history would never forgive us for the serious blunder of dealing only with the impact of the crisis rather than its causes. More than a crisis of big banks, this is a crisis of big dogmas. An economic, political and social outlook held to be unquestionable has simply fallen apart. A senseless way of thinking and acting which dominated the world for decades has proven itself bankrupt.",BRA_2009_03
BRA,2009,"I refer to the absurd doctrine that markets could regulate themselves with no need for so-called intrusive State intervention. And I refer to the thesis of absolute freedom for financial capital, with no rules or transparency, beyond the control of people and institutions. It was an iniquitous defence of a minimal, crippled, weakened state, unable to promote development or to fight poverty and inequities.",BRA_2009_04
BRA,2009,"It included the demonization of social policies, an obsession with precarious labour relations and an irresponsible commoditization of public services. The real cause of the crises is that most of the sovereignty of peoples and nations and their democratic governments had been confiscated by autonomous networks of wealth and power.",BRA_2009_05
BRA,2009,"I said then that the time had come for political decisions. I said that leaders, rather than arrogant technocrats must take responsibility for bringing worldwide disorder under control. Controlling the crisis and changing the course of the world’s economy could not be left to the usual few.",BRA_2009_06
BRA,2009,"Developed countries and the multilateral agencies that they run had been unable to foresee the approaching catastrophe, much less prevent it. The impact of the crisis spread around the world, striking, above all, countries that for years, and at great sacrifice, had been rebuilding their economies.",BRA_2009_07
BRA,2009,"It is not fair that the price of runaway speculation be paid by those who had nothing to do with it, by workers and by poor or developing countries. Twelve months later, we can see some progress, but many doubts still persist. No one is yet clearly willing to confront serious distortions of the global economy in the multilateral arena.",BRA_2009_08
BRA,2009,The fact that we avoided a total collapse of the system has apparently given rise to an irresponsible acquiescence in certain sectors. Most of the underlying problems have been ignored. There is enormous resistance to the adoption of effective mechanisms to regulate financial markets.,BRA_2009_09
BRA,2009,"Rich countries are putting off reform at multilateral agencies such as the International Monetary Fund (IMF) and the World Bank. We simply cannot understand the paralysis of the Doha Round, whose conclusion will, above all, benefit the poorest 7 09-52179 countries of our world. There are also worrisome signs of return to protectionist practices, while little has been done to fight tax havens.",BRA_2009_10
BRA,2009,"Many countries, however, have not sat waiting.",BRA_2009_11
BRA,2009,"Brazil, fortunately one of the last countries to be hit by the crisis, is now one of the first to emerge from it.",BRA_2009_12
BRA,2009,"There is no magic in what we did. We simply kept our financial system from being contaminated by the virus of speculation. We had already cut back our external vulnerability as we turned from debtors into international creditors. Along with other countries, we decided to contribute resources for the IMF to lend money to the poorest countries, free of the unacceptable conditions imposed in the past.",BRA_2009_13
BRA,2009,"Above all, however, both before and after the crisis broke out, we implemented countercyclical policies. We intensified our social programmes, particularly income-transfer programmes. We raised wages above inflation rates. We used fiscal measures to stimulate consumption and keep the economy moving.",BRA_2009_14
BRA,2009,We have now emerged from our brief recession.,BRA_2009_15
BRA,2009,"Our economy has regained its impetus and shows promise for 2010. Foreign trade is recovering vitality, the labour market is doing amazingly well and macroeconomic equilibrium has been preserved, at no cost to the victories of our people’s movements. What Brazil and other countries have shown is that, at times of crisis, we must still carry out bold social and development programmes.",BRA_2009_16
BRA,2009,"Yet I hold no illusions that we might solve our problems alone, within our own borders. Because the global economy is interdependent, we are all obliged to intervene across national borders and must therefore establish once again the world economic order.",BRA_2009_17
BRA,2009,"At meetings of the Group of 20 and many other meetings I have held with world leaders, I have insisted on the need to irrigate the world economy with a significant volume of credit. I have defended the regulation of financial markets, the widespread adoption of countercyclical policies, the end of protectionism and the fight against tax havens.",BRA_2009_18
BRA,2009,"With the same determination, my country has proposed a true reform of the multilateral financial institutions. Poor and developing countries must increase their share of control in the IMF and the World Bank. Otherwise, there can be no real change, and the peril of new and greater crises will be inevitable. Only more representative and democratic international agencies will be able to deal with complex problems such as reorganizing the international monetary system.",BRA_2009_19
BRA,2009,"Sixty-five years on, the world can no longer be run by the same rules and values that prevailed at the Bretton Woods Conference. Likewise, the United Nations and its Security Council can no longer be run under the same structures imposed after the Second World War. We are in a period of transition in international relations. We are moving towards a multilateral world. However, it is also a multipolar world, based on experiences in regional integration such as South America’s experience in creating the Union of South American Nations.",BRA_2009_20
BRA,2009,"This multipolar world will not conflict with the United Nations. On the contrary, it could be an invigorating factor for the United Nations. It would create the platform for a United Nations with the political and moral authority to solve the conflicts in the Middle East, assuring the coexistence of a Palestinian State with the State of Israel; a United Nations that confronts terrorism without stigmatizing ethnic groups and religions, instead dealing with underlying causes and promoting dialogue among civilizations; a United Nations that can truly help countries such as Haiti that are trying to rebuild their economies and mend their social fabric after achieving political stability; a United Nations committed to the African renaissance that we are now seeing; a United Nations able to implement effective policies that preserve and expand human rights; a United Nations that can make real progress towards disarmament in true balance with non-proliferation; a United Nations that can truly lead in initiatives to protect the planet’s environment; a United Nations that can use its Economic and Social Council to forge decisions on confronting the economic crisis; and a United Nations that is representative enough to address threats to world peace through a reformed Security Council that is renewed and open to new permanent members.",BRA_2009_21
BRA,2009,"We are not wishful thinkers. Yet it takes political will to confront and overcome situations that conspire against peace, development and democracy. Unless political will is present, throwbacks such as the embargo against Cuba will persist.",BRA_2009_22
BRA,2009,"Unless there is political will, we will see more coups such as the one that toppled the constitutional 09-52179 8 President of Honduras, José Manuel Zelaya, who has been granted refuge in Brazil’s embassy in Tegucigalpa since Monday. The international community demands that Mr. Zelaya immediately return to the presidency of his country, and it must be alert to ensure the inviolability of Brazil’s diplomatic mission in the capital of Honduras.",BRA_2009_23
BRA,2009,"Finally, unless political will prevails, threats to the world such as climate change will continue to grow.",BRA_2009_24
BRA,2009,All countries must take action to turn back global warming. We are dismayed by the reluctance of developed countries to shoulder their share of the burden when it comes to fighting climate change. They cannot burden developing and poor countries with tasks that are theirs alone.,BRA_2009_25
BRA,2009,"Brazil is doing its part. We will arrive in Copenhagen with precise alternatives and commitments. We have approved a national climate change plan that includes an 80 per cent cut in deforestation of the Amazon by 2020. We will reduce carbon dioxide emissions by 4.8 billion tons — more than the sum total of all the commitments of developed countries. In 2009, we can already boast the lowest deforestation rate in 20 years.",BRA_2009_26
BRA,2009,"Brazil’s energy blend is in one of the cleanest in the world. Forty-five per cent of the energy that my country consumes is renewable. In the rest of the world, only 12 per cent is renewable, while no country in the Organization for Economic Cooperation and Development has a rate higher than 5 per cent. Eighty per cent of our electric power also comes from renewable sources.",BRA_2009_27
BRA,2009,"All the gasoline sold for our passenger cars has 25 per cent ethanol blended into it. More than 80 per cent of the cars produced in our country have flexible- fuel engines that enable them to use any blend of gasoline and/or alcohol. Brazil’s ethanol and other biofuels are produced in ever-improving conditions under the ecological zoning plan that we have just sent to our National Congress. We have banned sugar cane plantations and alcohol plants in areas with native vegetation. That decision applies to the entire Amazon region as well as to other major biomes. Sugar cane production covers no more than 2 per cent of our tillable land. Unlike other biofuels, it does not affect food security, much less compromise the environment.",BRA_2009_28
BRA,2009,"Companies, farm workers and the Government have signed an important commitment to ensure decent working conditions on Brazil’s sugar cane plantations.",BRA_2009_29
BRA,2009,"All those concerns are part of the energy policies of a country that is self-sufficient in oil and has just found major reserves that will put us in the forefront of fossil fuel production. Even so, Brazil will not relinquish its environmental agenda and simply turn into an oil giant. We plan to consolidate our role as a world Power in green energy. Meanwhile, developed countries must set emission-reduction goals that go far beyond those tabled to date, which represent a mere fraction of the reductions recommended by the Intergovernmental Panel on Climate Change. We are also deeply concerned that the funding announced to date for technological innovations needed to protect the environment in developing countries is totally insufficient.",BRA_2009_30
BRA,2009,The solutions to those and other impasses will arise only if the perils of climate change are confronted with the understanding that we share common but differentiated responsibilities.,BRA_2009_31
BRA,2009,"The issues at the core of our concerns — the financial crisis, new global governance and climate change — have one strong common denominator: the need to build a new international order that is sustainable, multilateral and less asymmetric, free of hegemonies and ruled by democratic institutions. Such a new world is a political and moral imperative. We cannot just shovel away the rubble of failure; we must be midwives to the future. That is the only way to make amends for so much injustice and to prevent new collective tragedies.",BRA_2009_32
BRA,2010,It is a great honour for me to come to this rostrum to speak on behalf of the people and Government of Brazil. I bring the greetings of President Lula.,BRA_2010_01
BRA,2010,"Within days, over 130 million Brazilians will go to the polls and will write another important chapter in the history of our democracy. During President Lula’s two terms, Brazil has changed. Sustained economic growth, financial stability, social inclusion and the full exercise of democracy have converged and reinforced each another. Over 20 million Brazilians rose out of poverty, and many others out of extreme poverty.",BRA_2010_02
BRA,2010,Nearly 30 million people joined the middle class.,BRA_2010_03
BRA,2010,"Strong and transparent public policies reduced inequalities in income, access and opportunities.",BRA_2010_04
BRA,2010,Millions of Brazilians rose to dignity and real citizenship. The strengthened domestic market protected us from the worst effects of the global crisis set in motion by the financial casino in the richest countries in the world.,BRA_2010_05
BRA,2010,Brazil is proud to have achieved almost all of the Millennium Development Goals and to be well on the way to meeting them all by 2015. The inability of any country to achieve those Goals must be seen as a failure of the entire international community. The promotion of development is a collective responsibility.,BRA_2010_06
BRA,2010,"Brazil has been working to assist other countries to replicate its successful experiences. In the past years Brazil’s actions on the international stage have been driven by a sense of solidarity. We are convinced that it is possible to have a humanistic foreign policy without losing sight of national interests. That policy is supported by South-South cooperation. The IBSA Facility for Poverty and Hunger Alleviation, created by India, Brazil and South Africa, finances projects in Haiti, Guinea-Bissau, Cape Verde, Palestine, Cambodia, Burundi, Laos and Sierra Leone. Brazil has substantially increased its humanitarian aid and the number of its cooperation projects with poorer countries.",BRA_2010_07
BRA,2010,"Africa occupies a very special place in Brazilian diplomacy. Since taking office, President Lula has been to Africa 11 times and visited over 20 countries in the continent. We have set up an agricultural research office in Ghana, a model cotton farm in Mali, a manufacturing plant for antiretroviral drugs in Mozambique and professional training centres in five African countries. Through trade and investment, we are helping the African continent to develop its enormous potential and reduce its dependency on a few centres of political and economic power.",BRA_2010_08
BRA,2010,"Brazil is particularly concerned about Guinea- Bissau. It is not by isolating or abandoning Guinea- Bissau that the international community will help it address the challenges it still faces. We need intelligent modalities for cooperation, which can promote development and stability and encourage the necessary reforms, especially with regard to the armed forces.",BRA_2010_09
BRA,2010,"This year, in which a significant number of African countries celebrate the fiftieth anniversary of their decolonization, Brazil renews its commitment to an independent, prosperous, just and democratic Africa.",BRA_2010_10
BRA,2010,"There are few places where international solidarity is more needed than Haiti. We joined the United Nations in mourning the tragedy that took the lives of hundreds of thousands of Haitians. We ourselves lost great Brazilians, including Dr. Zilda Arns — a woman who dedicated her life to the poor, especially children — Mr. Luiz Carlos da Costa, Deputy Head of the United Nations Stabilization Mission in Haiti, and 18 of our peacekeepers.",BRA_2010_11
BRA,2010,"We would like to express our compassion for the suffering of the Haitian people and, above all, our admiration for the stoicism and courage with which they have been facing adversity. The Haitian people know that they can count on Brazil to not only help them maintain order and defend democracy, but also assist in their development. We are keeping our promises and will keep a watchful eye on the situation to ensure that the commitments of the international community go beyond rhetorical statements.",BRA_2010_12
BRA,2010,"10-54827 6 In recent years, the Brazilian Government has invested heavily in South America’s integration and peace. We have strengthened our strategic partnership with Argentina. We have reinforced MERCOSUR, including through financial mechanisms unique among developing countries.",BRA_2010_13
BRA,2010,"The establishment of the Union of South American Nations (UNASUR) aims at consolidating a genuine zone of peace and prosperity. UNASUR has already demonstrated its value in promoting understanding and the peaceful resolution of conflicts among and within countries in South America and has made foreign interference in our region even more unwarranted. By creating the Community of Latin American and Caribbean States, launched in Bahia, Brazil and confirmed in Cancún, Mexico, we have reaffirmed the region’s willingness to extend to Central America and the Caribbean the integrationist ideals that animate South Americans.",BRA_2010_14
BRA,2010,"Brazil reiterates its condemnation, shared by all in Latin America and the Caribbean, of the illegitimate embargo against Cuba. Its sole result has been to hamper the efforts of millions of Cubans in their struggle for development.",BRA_2010_15
BRA,2010,"We condemn anti-democratic moves, such as the coup d’état in Honduras. The return of former President Zelaya without threats to his freedom is indispensable for the full normalization of Honduras’ relations with the region as a whole.",BRA_2010_16
